project,sample,site,revisit,revisitid,g_hair,u_hair,type,barb,hair_colour,site_id,site_number,site_type,season,revisit_date,revisit_crew,site_name.x,utme,utmn,utm_zone,individual,sex,species,year,Treatment
nt,17052,at25,9,2019at2509,>10,,g,a6,bl,2019at25,at25,passive,fall,10/08/2019,"kf, as, km",little tweedsmuir,699677,5805811,9,36523,female,black,2019,Platform_Drift
nt,17057,at25,4,2019at2505,10-Apr,,g,b11,br,2019at25,at25,passive,summer,08/22/2019,"as, km, bc",little tweedsmuir,699677,5805811,9,17079,female,grizzly,2019,Platform_Drift
nt,17060,at01,5,2019at0105,>10,>10,both,a34,br,2019at01,at01,passive,summer,08/29/2019,"kf, as, bc",stillwater forest,311025,5803339,10,43416,female,grizzly,2019,Reference
nt,17062,at20,5,2019at2005,>10,>10,both,a14,br,2019at20,at20,passive,summer,08/28/2019,"as, km",fish bone,297417,5807661,10,41396,female,grizzly,2019,Landbased
nt,17064,at20,5,2019at2005,>10,>10,both,a20,mixed,2019at20,at20,passive,summer,08/28/2019,"as, km",fish bone,297417,5807661,10,41396,female,grizzly,2019,Landbased
nt,17066,at16,5,2019at1605,lots,lots,both,b8,mixed,2019at16,at16,passive,summer,08/28/2019,"as, km",lost hat,300787,5810425,10,40020,female,grizzly,2019,Landbased
nt,17072,at16,5,2019at1605,>10,>10,both,ground b6,br,2019at16,at16,passive,summer,08/28/2019,"as, km",lost hat,300787,5810425,10,50552,female,grizzly,2019,Landbased
nt,17073,at09,4,2019at0904,>10,>10,both,b8,mixed,2019at09,at09,passive,summer,08/24/2019,"ch,kf,km",blair's hole,307603,5808688,10,22313,female,grizzly,2019,Reference
nt,17074,at09,5,2019at0905,10-Apr,10-Apr,both,a11,br,2019at09,at09,passive,summer,08/30/2019,"as, km, bc",blair's hole,307603,5808688,10,43416,female,grizzly,2019,Reference
nt,17077,at05,3,2019at0503,>10,,g,b43,br,2019at05,at05,passive,summer,08/18/2019,"kf, as",line cabin,309302,5806163,10,22587,female,grizzly,2019,Reference
nt,17079,at13,5,2019at1305,>10,>10,both,b15,mixed,2019at13,at13,passive,summer,08/28/2019,"as, km",wood cut road,304271,5810444,10,17079,female,grizzly,2019,Landbased
nt,17081,at08,2,2019at0802,>10,03-Jan,both,b5,br,2019at08,at08,passive,summer,08/13/2019,"kf, as, jm",63 hole,307975,5808563,10,49830,female,grizzly,2019,Reference
nt,17085,at05,3,2019at0503,10-Apr,lots,both,a21,br,2019at05,at05,passive,summer,08/18/2019,"kf, as",line cabin,309302,5806163,10,43089,male,grizzly,2019,Reference
nt,17087,at11,3,2019at1103,lots,lots,both,a8,mixed,2019at11,at11,passive,summer,08/17/2019,"as, km",frog water,305595,5809726,10,43089,male,grizzly,2019,Landbased
nt,17090,at11,2,2019at1102,>10,>10,both,a7,mixed,2019at11,at11,passive,summer,08/13/2019,"kf, jm, as",frog water,305595,5809726,10,43089,male,grizzly,2019,Landbased
nt,17092,at09,2,2019at0902,>10,03-Jan,both,a13,bl,2019at09,at09,passive,summer,08/13/2019,"as, kf, jm",blair's hole,307603,5808688,10,43464,female,black,2019,Reference
nt,17093,at08,2,2019at0802,10-Apr,>10,both,a18,br,2019at08,at08,passive,summer,08/13/2019,"kf, as, jm",63 hole,307975,5808563,10,49830,female,grizzly,2019,Reference
nt,17228,at17,11,2019at1711,>10,>10,both,b22,br,2019at17,at17,passive,fall,10/22/2019,"kf, as, km",bc wrights,299622,5810216,10,41434,female,grizzly,2019,Landbased
nt,17364,at05,10,2019at0510,10-Apr,>10,both,a14,br,2019at05,at05,passive,fall,10/16/2019,"kf, as ",line cabin,309302,5806163,10,43446,female,grizzly,2019,Reference
nt,17369,at14,11,2019at1411,03-Jan,03-Jan,both,a46,mixed,2019at14,at14,passive,fall,10/22/2019,"kf, as, km",atnarko campground beach,302041,5809940,10,43360,male,grizzly,2019,Landbased
nt,17376,at05,10,2019at0510,>10,>10,both,c8,br,2019at05,at05,passive,fall,10/16/2019,"kf, as ",line cabin,309302,5806163,10,43446,female,grizzly,2019,Reference
nt,17499,at02,10,2019at0210,10-Apr,>10,both,a5,br,2019at02,at02,passive,fall,10/16/2019,"kf, as",stillwater falls,310913,5804151,10,30354,female,grizzly,2019,Reference
nt,17546,at23,11,2019at2311,>10,>10,both,a38,mixed,2019at23,at23,passive,fall,10/22/2019,"kf, as, km",kettle confluence,701627,5805155,9,17546,female,grizzly,2019,Landbased
nt,18191,at05,3,2020at0503,>10,n/a,g,b20,br,2020at05,at05,passive,summer,08/31/2020,"ei, km, sh.m",line cabin,309306,5806156,10,18192,female,grizzly,2020,Reference
nt,18192,at03,3,2020at0303,10-Apr,10-Apr,both,a29,br,2020at03,at03,passive,summer,08/31/2020,"ei, km, sh.m",hotnarko,310603,5804663,10,18192,female,grizzly,2020,Reference
nt,18193,at17,4,2020at1704,>10,n/a,g,a12,bl,2020at17,at17,passive,summer,09/06/2020,"kf, sm, ei",bc wrights,299761,5810352,10,38625,female,black,2020,Landbased
nt,18203,at06,4,2020at0604,>10,n/a,g,b3,br,2020at06,at06,passive,summer,09/14/2020,"kf, ei, rb",sheep creek,309242,5807385,10,30318,female,grizzly,2020,Reference
nt,18206,at06,4,2020at0604,10-Apr,10-Apr,both,b22,br,2020at06,at06,passive,summer,09/14/2020,"kf, ei, rb",sheep creek,309242,5807385,10,30318,female,grizzly,2020,Reference
nt,18207,at06,5,2020at0605,lots,lots,both,a8,mixed,2020at06,at06,passive,fall,09/23/2020,"sm, km, ei",sheep creek,309242,5807385,10,50364,female,grizzly,2020,Reference
nt,18208,at06,5,2020at0605,10-Apr,lots,both,a7,bl,2020at06,at06,passive,fall,09/23/2020,"sm, km, ei",sheep creek,309242,5807385,10,50364,female,grizzly,2020,Reference
nt,18215,at03,3,2020at0303,lots,lots,both,a33,br,2020at03,at03,passive,summer,08/31/2020,"ei, km, sh.m",hotnarko,310603,5804663,10,36879,female,grizzly,2020,Reference
nt,18219,at23,2,2020at2302,03-Jan,n/a,g,a42,bl,2020at23,at23,passive,summer,08/17/2020,"kf, sh.m, km, seas",kettle confluence,701679,5805321,9,18219,female,grizzly,2020,Landbased
nt,18222,at25,2,2020at2502,10-Apr,10-Apr,both,a50,mixed,2020at25,at25,passive,summer,08/21/2020,"kf, sh.m, km",little tweeds,699646,5805753,9,49988,female,grizzly,2020,Platform_Drift
nt,18228,at23,2,2020at2302,>10,>10,both,a2,br,2020at23,at23,passive,summer,08/17/2020,"kf, sh.m, km, seas",kettle confluence,701679,5805321,9,18228,female,grizzly,2020,Landbased
nt,18229,at17,5,2020at1705,lots,lots,both,d30,bl,2020at17,at17,passive,summer,09/17/2020,"kf, sm, ei",bc wrights,299761,5810352,10,38625,female,black,2020,Landbased
nt,18231,at17,5,2020at1705,lots,lots,both,d24,bl,2020at17,at17,passive,summer,09/17/2020,"kf, sm, ei",bc wrights,299761,5810352,10,38625,female,black,2020,Landbased
nt,18236,at24b,3,2020at24b03,>10,n/a,g,b6,bl,2020at24b,at24b,passive,summer,08/27/2020,"kf, sm, jm",belarko 2,700565,5805748,9,18236,female,grizzly,2020,Platform_Drift
nt,18237,at06,3,2020at0603,n/a,10-Apr,u,a12,br,2020at06,at06,passive,summer,08/31/2020,"ei, km, sh.m",sheep creek,309242,5807385,10,18237,male,grizzly,2020,Reference
nt,18238,at06,3,2020at0603,>10,>10,both,a22,br,2020at06,at06,passive,summer,08/31/2020,"ei, km, sh.m",sheep creek,309242,5807385,10,18237,male,grizzly,2020,Reference
nt,18242,at15,0,2020at1500,10-Apr,n/a,g,a27,bl,2020at15,at15,passive,summer,08/02/2020,"kf, sm, ei",camp creek,301461,5810371,10,18242,female,black,2020,Landbased
nt,18245,at06,2,2020at0602,10-Apr,10-Apr,both,b4,mixed,2020at06,at06,passive,summer,08/18/2020,"kf, sh.m, km",sheep creek,309242,5807385,10,50520,male,grizzly,2020,Reference
nt,18375,at23,7,2021at2307,lots,n/a,g,a6,bl,2021at23,at23,passive,summer,09/29/2021,"ns, ei",kettle confluence,701637,5805050,9,18375,male,grizzly,2021,Landbased
nt,18383,at14,7,2021at1407,03-Jan,03-Jan,both,a21,mixed,2021at14,at14,passive,summer,09/29/2021,"ns, sm, ei",atnarko campground,302042,5809951,10,40119,female,grizzly,2021,Landbased
nt,18384,at13,7,2021at1307,10-Apr,n/a,g,c8,bl,2021at13,at13,passive,summer,09/29/2021,"ns, sm, ei",woodcut,302976,5810084,10,58476,male,grizzly,2021,Landbased
nt,18409,at09,2,2021at0902,lots,lots,both,b23,mixed,2021at09,at09,passive,summer,08/18/2021,"ns, sm, rs",blair's hole,307593,5808684,10,18597,male,grizzly,2021,Reference
nt,18414,at03,1,2021at0301,lots,lots,both,a32,br,2021at03,at03,passive,summer,08/09/2021,"ns, sm, ei, rs",hotnarko,310622,5804721,10,36879,female,grizzly,2021,Reference
nt,18416,at03,1,2021at0301,10-Apr,10-Apr,both,a37,br,2021at03,at03,passive,summer,08/09/2021,"ns, sm, ei, rs",hotnarko,310622,5804721,10,36879,female,grizzly,2021,Reference
nt,18417,at03,1,2021at0301,10-Apr,10-Apr,both,a28,br,2021at03,at03,passive,summer,08/09/2021,"ns, sm, ei, rs",hotnarko,310622,5804721,10,38791,male,grizzly,2021,Reference
nt,18420,at37,1,2021at3701,10-Apr,10-Apr,both,a7,br,2021at37,at37,passive,summer,08/05/2021,"ns, sm, ei, rs",fisheries pool 3,698502,5806877,9,18236,female,grizzly,2021,Platform_Drift
nt,18423,at02,5,2021at0205,10-Apr,n/a,g,a26,br,2021at02,at02,passive,summer,09/16/2021,"ns, rs, ei",stillwater falls,310909,5804144,10,38664,male,grizzly,2021,Reference
nt,18426,at08,5,2021at0805,>10,n/a,g,b8,br,2021at08,at08,passive,summer,09/15/2021,"ns, rs, ei",63 hole,307971,5808566,10,38664,male,grizzly,2021,Reference
nt,18427,at08,5,2021at0805,lots,n/a,g,b5,br,2021at08,at08,passive,summer,09/15/2021,"ns, rs, ei",63 hole,307971,5808566,10,18427,female,grizzly,2021,Reference
nt,18433,at08,5,2021at0805,03-Jan,n/a,g,a15,br,2021at08,at08,passive,summer,09/15/2021,"ns, rs, ei",63 hole,307971,5808566,10,50552,female,grizzly,2021,Reference
nt,18436,at05,5,2021at0505,lots,lots,both,c4,mixed,2021at05,at05,passive,summer,09/16/2021,"ns, rs, ei",line cabin,309292,5806176,10,41301,female,grizzly,2021,Reference
nt,18446,at14,5,2021at1405,lots,lots,both,a19,br,2021at14,at14,passive,summer,09/14/2021,"ns, rs, ei",atnarko campground,302042,5809951,10,18446,male,grizzly,2021,Landbased
nt,18457,at17,5,2021at1705,10-Apr,lots,both,d16,br,2021at17,at17,passive,summer,09/14/2021,"ns, rs, ei",bc wrights,299832,5810287,10,30354,female,grizzly,2021,Landbased
nt,18465,at05,6,2021at0506,10-Apr,n/a,g,6,br,2021at05,at05,passive,summer,09/24/2021,"nc, rs",line cabin,309292,5806176,10,30354,female,grizzly,2021,Reference
nt,18466,at17,5,2021at1705,>10,n/a,g,e7,br,2021at17,at17,passive,summer,09/14/2021,"ns, rs, ei",bc wrights,299832,5810287,10,40119,female,grizzly,2021,Landbased
nt,18469,at17,5,2021at1705,>10,n/a,g,d8,br,2021at17,at17,passive,summer,09/14/2021,"ns, rs, ei",bc wrights,299832,5810287,10,38818,male,grizzly,2021,Landbased
nt,18476,at11,8,2021at1108,lots,lots,both,a3,br,2021at11,at11,passive,summer,10/08/2021,"sm, ei, rs",frog water,305584,5809732,10,30354,female,grizzly,2021,Landbased
nt,18482,at05,8,2021at0508,>10,>10,both,a28,br,2021at05,at05,passive,summer,10/14/2021,"kf, ks, rs, ei, ns, ip",line cabin,309292,5806176,10,30354,female,grizzly,2021,Reference
nt,18483,at05,8,2021at0508,lots,n/a,g,a36,br,2021at05,at05,passive,summer,10/14/2021,"kf, ks, rs, ei, ns, ip",line cabin,309292,5806176,10,57176,female,grizzly,2021,Reference
nt,18497,at05,7,2021at0507,>10,n/a,g,a49,br,2021at05,at05,passive,summer,10/06/2021,"kf, rs, ei",line cabin,309292,5806176,10,50552,female,grizzly,2021,Reference
nt,18500,at02,7,2021at0207,10-Apr,03-Jan,both,a59,br,2021at02,at02,passive,summer,10/06/2021,"kf, rs, ei",stillwater falls,310909,5804144,10,41455,female,grizzly,2021,Reference
nt,18501,at16,9,2021at1609,>10,10-Apr,both,c6,br,2021at16,at16,passive,summer,10/18/2021,"sm, ei, ns",lost hat,300800,5810409,10,49576,male,grizzly,2021,Landbased
nt,18505,at17,9,2021at1709,10-Apr,10-Apr,both,c18,br,2021at17,at17,passive,summer,10/18/2021,"sm, ei, ns",bc wrights,299832,5810287,10,18505,female,grizzly,2021,Landbased
nt,18506,at17,6,2021at1706,>10,10-Apr,both,a33,mixed,2021at17,at17,passive,summer,09/22/2021,"kf,rs",bc wrights,299832,5810287,10,18506,male,grizzly,2021,Landbased
nt,18508,at13,6,2021at1306,>10,03-Jan,both,a5,mixed,2021at13,at13,passive,summer,09/22/2021,"kf, rs",woodcut,302976,5810084,10,22313,female,grizzly,2021,Landbased
nt,18515,at37,10,2021at3710,lots,lots,both,a24,mixed,2021at37,at37,passive,summer,10/15/2021,"kf, sm, rs",fisheries pool 3,698502,5806877,9,41113,female,grizzly,2021,Platform_Drift
nt,18517,at37,10,2021at3710,10-Apr,10-Apr,both,a7,br,2021at37,at37,passive,summer,10/15/2021,"kf, sm, rs",fisheries pool 3,698502,5806877,9,41113,female,grizzly,2021,Platform_Drift
nt,18522,at09,6,2021at0906,10-Apr,>10,both,a3,mixed,2021at09,at09,passive,summer,09/23/2021,"kf, rs",blair's hole,307593,5808684,10,40223,male,grizzly,2021,Reference
