year,date,yearweek_ID,site_num,site_name,session_start_time,session_end_time,timestamp_focal.bhv.change,start_time_of_focal,length,file_id,focalbear_event,bear_name,sex,age,agesex,family,yrl_num,coy_num,num_offspring,coarse_code,fine_code,snorkel,video_time_behave_change,duration_of_behave,duration_in_seconds,total_length_within_focalevent,sexing_comments
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:16,8:16:18,0:11:10,B0403-F2,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,0,0,,0:03:35,0:03:35,215,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:19,8:16:18,0:11:10,B0403-F2,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,10,11,,0:04:11,0:00:36,36,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:20,8:16:18,0:11:10,B0403-F2,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,30,31,,0:04:12,0:00:01,1,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:20,8:16:18,0:11:10,B0403-F2,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,10,11,,0:05:19,0:01:07,67,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:21,8:16:18,0:11:10,B0403-F2,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,10,12,,0:05:30,0:00:11,11,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:21,8:16:18,0:11:10,B0403-F2,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,10,11,,0:05:43,0:00:13,13,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:22,8:16:18,0:11:10,B0403-F2,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,0,0,,0:05:54,0:00:11,11,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:22,8:16:18,0:11:10,B0403-F2,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,10,12,,0:05:58,0:00:04,4,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:22,8:16:18,0:11:10,B0403-F2,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,10,11,,0:06:18,0:00:20,20,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:22,8:16:18,0:11:10,B0403-F2,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,0,0,,0:06:21,0:00:03,3,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:22,8:16:18,0:11:10,B0403-F2,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,10,11,,0:07:07,0:00:46,46,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:23,8:16:18,0:11:10,B0403-F2,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,0,0,,0:11:10,0:04:03,243,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:37,8:37:00,0:06:37,B0403-F3,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,0,0,,0:00:19,0:00:19,19,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:37,8:37:00,0:06:37,B0403-F3,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,10,11,,0:00:21,0:00:02,2,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:37,8:37:00,0:06:37,B0403-F3,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,0,0,,0:00:38,0:00:17,17,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:37,8:37:00,0:06:37,B0403-F3,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,10,11,,0:00:52,0:00:14,14,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:37,8:37:00,0:06:37,B0403-F3,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,0,0,,0:00:54,0:00:02,2,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:37,8:37:00,0:06:37,B0403-F3,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,10,11,,0:00:56,0:00:02,2,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:37,8:37:00,0:06:37,B0403-F3,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,30,31,,0:01:07,0:00:11,11,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:38,8:37:00,0:06:37,B0403-F3,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,10,11,,0:01:12,0:00:05,5,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:38,8:37:00,0:06:37,B0403-F3,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,30,31,,0:01:16,0:00:04,4,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:38,8:37:00,0:06:37,B0403-F3,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,100,100,,0:01:18,0:00:02,2,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:38,8:37:00,0:06:37,B0403-F3,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,10,13,,0:01:21,0:00:03,3,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:38,8:37:00,0:06:37,B0403-F3,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,10,11,,0:01:25,0:00:04,4,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:38,8:37:00,0:06:37,B0403-F3,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,100,100,,0:01:27,0:00:02,2,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:38,8:37:00,0:06:37,B0403-F3,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,10,11,,0:01:55,0:00:28,28,1150,NA
2019,2019-08-20,201934,B04,BELARKO,6:00:00,9:12:00,2019-08-20 8:38,8:37:00,0:06:37,B0403-F3,2019_B0403_FCL2,NanMcSnugsandThreeTerrors,FWY,ADULT,Female with young,Y,3,0,3,30,31,,0:01:56,0:00:01,1,1150,NA
